no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
1,0,12,Y(Y),6,N,N,0.4115,0.8684,2,Y,Y,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
2,1,36,Y(N),6,N,Y,0.6888,0.8684,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
3,2,36,Y(Y),6,N,Y,0.3928,0.1578,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
4,3,36,Y(Y),2,Y,N,1,1,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
5,4,36,N(N),6,Y,Y,1,0.6315,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
6,5,36,N(N),6,N,Y,0.5753,0.8333,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
7,6,36,N(N),6,N,Y,0.1746,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
8,7,36,N(N),3,N,Y,0.4444,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
9,8,34,Y(Y),6,N,Y,0.3807,0.6578,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
10,9,31,N(N),6,N,Y,0.9,0.9473,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
11,10,30,N(N),6,N,Y,0.2777,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
12,11,26,N(N),6,N,Y,0.3407,0.6578,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
13,12,25,Y(Y),6,N,Y,0.2769,0.8947,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
14,13,25,N(N),6,N,N,0.4222,0.7894,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
15,14,24,Y(Y),6,N,N,0.8071,1,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
16,15,24,N(N),6,Y,Y,0.9246,1,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
17,16,23,N(N),6,N,Y,0.873,0.8888,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
18,17,22,Y(Y),6,N,N,0.3269,0.7631,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
19,18,22,Y(Y),4,N,Y,0.3846,0.4736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
20,19,20,Y(N),6,N,Y,0.4722,0.9166,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
21,20,20,Y(Y),6,N,Y,0.2461,0.6842,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
22,21,18,Y(Y),6,N,Y,0.4346,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
23,22,18,Y(Y),6,N,Y,0.3642,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
24,23,18,Y(Y),4,N,Y,0.3807,0.7105,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
25,24,18,N(N),4,N,Y,0.6035,0.9473,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
26,25,17,Y(Y),6,N,Y,0.3857,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
27,26,15,Y(Y),6,N,Y,0.1576,0.7105,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
28,27,15,Y(Y),6,N,Y,0.1538,0.8947,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
29,28,15,N(N),6,N,Y,0.5357,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
30,29,15,N(N),6,N,N,0.4346,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
31,30,14,Y(Y),6,N,N,0.3928,0.4736,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
32,31,13,Y(Y),6,N,Y,0.6464,0.1578,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
33,32,12,Y(Y),6,N,Y,0.2653,0.6842,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
34,33,12,Y(Y),6,N,Y,0.2576,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
35,34,10,Y(Y),6,N,Y,0.4576,0.8157,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
36,35,10,Y(Y),6,N,Y,0.2807,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
37,36,10,Y(Y),6,N,N,0.5307,0.8611,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
38,37,9,Y(N),6,N,Y,0.6587,0.6666,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
39,38,9,N(N),6,N,Y,0.7,0.8333,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
40,39,8,Y(Y),6,N,Y,0.3115,0.9473,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
41,40,7,Y(Y),6,N,Y,0.5115,0.8611,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
42,41,7,Y(Y),6,N,Y,0.2846,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
43,42,7,Y(Y),6,N,Y,0.2692,0.8947,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
44,43,5,Y(Y),6,N,Y,0.6357,1,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
45,44,5,Y(Y),6,N,Y,0.4884,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
46,45,5,N(N),6,N,Y,0.8142,0.9473,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
47,46,4,Y(Y),6,N,N,0.4769,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
48,47,4,N(N),6,N,Y,0.4678,0.8157,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
49,48,3,Y(N),6,N,Y,0.5952,1,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
50,49,3,Y(Y),6,N,Y,0.3346,0.8684,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
51,50,2,Y(Y),6,N,Y,0.1384,0.9473,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
52,51,2,N(N),6,N,Y,0.674,1,3,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
53,52,1,Y(N),6,Y,Y,1,1,4,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
54,53,1,Y(N),6,Y,Y,1,0.6944,4,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
55,54,1,Y(N),6,N,Y,0.9642,0.7894,4,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
56,55,1,Y(N),6,N,Y,0.7619,0.8333,3,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
57,56,1,Y(N),6,N,Y,0.7103,1,3,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
58,57,1,Y(Y),6,N,Y,0.4653,1,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
59,58,1,Y(Y),6,N,Y,0.45,0.921,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
60,59,1,Y(Y),6,N,Y,0.4,0.9736,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
61,60,1,Y(Y),6,N,Y,0.3807,0.8684,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
62,61,1,Y(Y),6,N,Y,0.3807,0.6578,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
63,62,1,Y(Y),6,N,Y,0.3576,0.8684,2,Y,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
64,63,1,N(N),6,Y,Y,1,0.7894,4,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
65,64,1,N(N),6,N,Y,0.8357,0.9473,4,,N,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2,김영석,김영석,"월8,9,수8",90.0,68.0,14.05,65.0
